标题,介绍,总价,单价
精装修，标准南北。，楼层高，不挡光，全明户型,2室2厅 | 104.14平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼, 69万,"6,626元/平"
地铁4号线 南北 多层1楼 带花园 两室好房出售 可贷款,2室2厅 | 86.68平米 | 南 北 东 | 简装 | 低楼层(共6层) | 2009年建 | 板楼, 62.8万,"7,246元/平"
急售 方迪家园 东南大两室两卫 中间楼层 看房有钥匙,2室1厅 | 140.13平米 | 东南 | 其他 | 中楼层(共17层) | 2003年建 | 板楼, 88万,"6,280元/平"
保利茉莉公馆 望湖路 134 地铁4号线 有钥匙随时看房,3室2厅 | 105.75平米 | 南 北 | 毛坯 | 高楼层(共33层) | 2020年建 | 板楼, 114万,"10,781元/平"
南北通透，全明格局，有电梯，3室2厅2卫,3室2厅 | 115.53平米 | 南 北 | 毛坯 | 低楼层(共33层) | 2018年建 | 板楼, 65万,"5,627元/平"
全天采光 C 位置 精装修 业主诚心出售 不临街,2室2厅 | 92.35平米 | 南 北 | 精装 | 高楼层(共31层) | 2016年建 | 板楼, 160万,"17,326元/平"
126四大原始社区，格局好采光,2室1厅 | 58.61平米 | 东 西 | 其他 | 高楼层(共8层)  | 板楼, 50万,"8,531元/平"
浑南洋房品质园区，轻轨，地铁，高铁，出行方便,3室2厅 | 129.02平米 | 南 北 | 毛坯 | 中楼层(共7层) | 2020年建 | 板楼, 103万,"7,984元/平"
长白 江南时代 南向 精装修 拎包即住,2室1厅 | 59.36平米 | 南 | 精装 | 中楼层(共33层) | 2017年建 | 板楼, 57万,"9,603元/平"
航空航天大学地铁口100米南北客卧分离不临街不挡光,1室1厅 | 55.8平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼, 31.5万,"5,646元/平"
甲第 一期 近D T 配套齐全 交通便利,2室1厅 | 78.52平米 | 南 北 | 精装 | 低楼层(共18层) | 2006年建 | 板楼, 59万,"7,515元/平"
好房急售 11楼带电梯 尚品双总 地铁四号线,2室1厅 | 88.07平米 | 南 北 | 简装 | 高楼层(共12层) | 2007年建 | 板楼, 97万,"11,014元/平"
顶楼带阁楼 空间大 功能齐全 看房方便 装修标准高,3室1厅 | 188.56平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼, 249万,"13,206元/平"
九如溪谷 联排别墅 有装修  南花园北车库,3室2厅 | 184.57平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼, 100万,"5,418元/平"
房子满五年 无贷款 产权清晰 业主诚心出售 户型方正,2室2厅 | 125.83平米 | 南 北 | 精装 | 低楼层(共7层) | 1996年建 | 板楼, 85万,"6,756元/平"
清水大平层 四室 户型好 中高层不挡光 世茂五里河,4室2厅 | 213.84平米 | 南 北 | 毛坯 | 高楼层(共34层) | 2012年建 | 板楼, 260万,"12,159元/平"
房主急售！精装四室！拎包住！园区中间！出门即公园！,4室2厅 | 168.34平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼, 355万,"21,089元/平"
中海国际二期央景园区  四室开发商精装  满五好楼层,4室2厅 | 161.76平米 | 南 北 | 精装 | 高楼层(共34层)  | 暂无数据, 279万,"17,248元/平"
近省实验 降价32万 洋房园区中间 额外面积多 精装修,4室2厅 | 189.42平米 | 南 北 | 精装 | 低楼层(共14层) | 2015年建 | 板楼, 253万,"13,357元/平"
龙湖源著 精装修  拎包即住  小户型,1室2厅 | 56平米 | 西北 | 精装 | 中楼层(共32层) | 2018年建 | 板塔结合, 26万,"4,643元/平"
新华西社区 中层南北 不把不临 园区干净,2室1厅 | 59.62平米 | 南 北 | 简装 | 中楼层(共8层) | 1997年建 | 板楼, 77万,"12,916元/平"
荣盛城 精装修 带车位 .16楼 采光好 房主急售,2室2厅 | 80.19平米 | 南 北 | 精装 | 高楼层(共18层) | 2016年建 | 板楼, 68万,"8,480元/平"
满五，园区内，带煤气，近地铁，独立下水,1室1厅 | 37.44平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼, 25.5万,"6,811元/平"
保持好 拎包入住 万科品质 业主诚意出售,2室1厅 | 78.38平米 | 南 北 东 | 精装 | 低楼层(共18层)  | 板楼, 77万,"9,824元/平"
丁香湖地铁口 精装修看房方便有钥匙,2室2厅 | 84.47平米 | 南 北 | 精装 | 低楼层(共25层) | 2015年建 | 板楼, 85万,"10,063元/平"
浑南奥体SR国际城 园区中・央二室南北通透 全天采光,2室2厅 | 106.49平米 | 南 北 | 精装 | 高楼层(共30层) | 2009年建 | 板楼, 87万,"8,170元/平"
前排河景，28楼，装修好，精装修,2室1厅 | 85.42平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼, 98万,"11,473元/平"
会展长白南精装修两室两厅南北格局全明户型落地窗,2室2厅 | 76.3平米 | 西南 | 精装 | 中楼层(共32层) | 2019年建 | 板塔结合, 59.5万,"7,799元/平"
126总 楼层好 采光好 总价低 房主诚心出售,2室1厅 | 51.65平米 | 南 北 | 简装 | 中楼层(共7层) | 2000年建 | 板楼, 55.5万,"10,746元/平"
多层楼层好，中间层，交通便利，园区保持的好看房方便,2室2厅 | 89.45平米 | 南 北 | 精装 | 中楼层(共6层) | 2012年建 | 板楼, 58.6万,"6,552元/平"
急售！南北两室 精装修 好楼层 采光视野好 看房方便,2室1厅 | 81.72平米 | 南 北 | 精装 | 30层 | 2014年建 | 板楼, 59.8万,"7,318元/平"
央企中海 品质园区 好楼层 房主急售,2室1厅 | 87.42平米 | 南 北 | 毛坯 | 高楼层(共33层) | 2010年建 | 板楼, 78万,"8,923元/平"
云峰街地铁口 巴塞罗那 晶座 小两室 楼层好,2室1厅 | 59.55平米 | 东北 | 精装 | 低楼层(共31层) | 2012年建 | 板楼, 66万,"11,084元/平"
南北通透  中间楼层 采光好  北侧可看河景,2室1厅 | 86.32平米 | 南 北 | 毛坯 | 33层 | 2020年建 | 板楼, 74万,"8,573元/平"
不临三环 业主诚心卖，看房方便,2室1厅 | 93.12平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼, 87.8万,"9,429元/平"
电梯洋房，园区环境好，四号街地铁口,3室2厅 | 100.21平米 | 南 北 | 毛坯 | 中楼层(共8层) | 2018年建 | 板楼, 104万,"10,379元/平"
第壹城精装两室，业主诚心出售，楼层好,2室1厅 | 70.7平米 | 西北 | 精装 | 高楼层(共26层) | 2010年建 | 塔楼, 58万,"8,204元/平"
碧桂园开发商， 楼层好格局好，交通便利.,2室1厅 | 81.65平米 | 西南 北 | 精装 | 30层 | 2014年建 | 板楼, 51.8万,"6,345元/平"
21世纪大厦  万科精装修  中楼层  2018年次新房,2室1厅 | 67.81平米 | 东南 | 精装 | 中楼层(共29层) | 2018年建 | 板塔结合, 81万,"11,946元/平"
近地铁 婚房装修 拎包即住 配套齐全！,2室1厅 | 87.62平米 | 东北 | 精装 | 低楼层(共27层)  | 板楼, 56.3万,"6,426元/平"
品质园区 万科物业  南北通透,2室1厅 | 86.55平米 | 南 北 | 毛坯 | 低楼层(共34层) | 2017年建 | 板楼, 83万,"9,590元/平"
43，雷锋，交通方便，视野开阔,2室0厅 | 57.75平米 | 北 南 | 精装 | 高楼层(共7层)  | 板楼, 46.5万,"8,052元/平"
急售奥园学府 84平南北两室好楼层精装带家具家电,2室2厅 | 83.07平米 | 南 北 | 精装 | 中楼层(共33层) | 2019年建 | 板塔结合, 69万,"8,307元/平"
恒大城二期  近大门 保持好低楼层采光好东山急急急,2室2厅 | 91.84平米 | 东 南 北 | 精装 | 低楼层(共28层) | 2014年建 | 板塔结合, 57.9万,"6,305元/平"
世代龙城南北两室多层三楼公摊小近地铁,2室1厅 | 63.1平米 | 南 北 | 简装 | 中楼层(共6层) | 2008年建 | 板楼, 55万,"8,717元/平"
金地檀府 南北两居 4个大飘窗多10平米 好位置不把山,2室2厅 | 88.21平米 | 南 北 | 毛坯 | 高楼层(共34层) | 2019年建 | 板楼, 105万,"11,904元/平"
精装修，南北两室，采光好，南北花园,2室1厅 | 61.63平米 | 南 北 | 精装 | 低楼层(共7层) | 2009年建 | 板楼, 67.5万,"10,953元/平"
清水两室南北向好楼层满二急售地铁2号线,2室1厅 | 82.58平米 | 北 南 | 毛坯 | 34层 | 2021年建 | 板楼, 68万,"8,235元/平"
急售南北两室 东方俪成 电梯小高层 商圈成熟 有钥匙,2室2厅 | 91.88平米 | 南 北 | 简装 | 中楼层(共17层) | 2005年建 | 板楼, 65万,"7,075元/平"
园区中间，全天采光，精装修，可直接入住,2室1厅 | 98.13平米 | 南 北 | 精装 | 高楼层(共17层) | 2005年建 | 板楼, 120万,"12,229元/平"
第壹城精装两室，业主诚心出售，楼层好,2室1厅 | 70.7平米 | 西北 | 精装 | 高楼层(共26层) | 2010年建 | 塔楼, 58万,"8,204元/平"
南向精装修 无贷款产权清晰  配套齐全 随时看房,1室1厅 | 67.25平米 | 南 | 精装 | 中楼层(共33层) | 2010年建 | 板楼, 105万,"15,614元/平"
南北通透  中间楼层 采光好  北侧可看河景,2室1厅 | 86.32平米 | 南 北 | 毛坯 | 33层 | 2020年建 | 板楼, 74万,"8,573元/平"
不临三环 业主诚心卖，看房方便,2室1厅 | 93.12平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼, 87.8万,"9,429元/平"
电梯洋房，园区环境好，四号街地铁口,3室2厅 | 100.21平米 | 南 北 | 毛坯 | 中楼层(共8层) | 2018年建 | 板楼, 104万,"10,379元/平"
急售 融创城一楼 有大花园 精装修 随时可看房,2室1厅 | 78.76平米 | 南 北 | 精装 | 低楼层(共6层) | 2018年建 | 板楼, 63万,"7,999元/平"
楼层好 视野好 采光好  诚心出售,2室1厅 | 77.98平米 | 南 北 | 精装 | 高楼层(共32层) | 2016年建 | 板楼, 75.8万,"9,721元/平"
交通医疗教育购物生态景观汇聚一身的好房,3室2厅 | 109.44平米 | 南 北 | 毛坯 | 中楼层(共33层) | 2022年建 | 板塔结合, 78万,"7,128元/平"
小户型，采光好，电梯房，配套齐全,1室1厅 | 39平米 | 东 | 其他 | 低楼层(共32层) | 2009年建 | 板楼, 36万,"9,231元/平"
金地锦城 两室南北 中间楼层 看房方便 诚心出售,2室2厅 | 91.78平米 | 南 北 | 简装 | 中楼层(共27层) | 2015年建 | 板楼, 91万,"9,916元/平"
园区中间小高层精装修好楼层有钥匙随时看房,2室2厅 | 87.2平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼, 89万,"10,207元/平"
出售御景新世界 河景房源  双阳两室 南客厅  诚心出售,2室2厅 | 98平米 | 南 | 精装 | 高楼层(共33层) | 2014年建 | 板楼, 230万,"23,470元/平"
新上越秀小面积河景房 河景效果好 精装修 无大税,2室1厅 | 71.72平米 | 南 | 精装 | 高楼层(共20层) | 2016年建 | 板楼, 99万,"13,804元/平"
丁香湖地铁口央企 精装修南北通透 有钥匙随时看房,2室2厅 | 69.62平米 | 南 北 | 精装 | 低楼层(共33层) | 2015年建 | 板楼, 66万,"9,481元/平"
浑南新市府  全天采光  白塔河地铁口   小两室,2室1厅 | 59平米 | 南 | 精装 | 中楼层(共18层) | 2015年建 | 板楼, 52万,"8,814元/平"
精装2室 南北标户 采光视野好 中间楼层,2室2厅 | 85.99平米 | 南 北 | 毛坯 | 高楼层(共32层) | 2019年建 | 板楼, 99万,"11,513元/平"
丰泽社区  134  看房   方便 单价  采光好,2室1厅 | 62.44平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据, 47.9万,"7,672元/平"
品质园区 万科物业 精装修 全天采光,2室2厅 | 86.55平米 | 南 北 | 精装 | 低楼层(共34层) | 2017年建 | 板楼, 113万,"13,057元/平"
浑南奥体营盘街SR国际新城南向精装小两室,2室1厅 | 78.19平米 | 南 | 精装 | 高楼层(共32层) | 2009年建 | 板楼, 66万,"8,441元/平"
七星九龙湾 南向采光好 设施齐全 出行方便,1室1厅 | 45.7平米 | 南 | 精装 | 中楼层(共34层) | 2013年建 | 板楼, 21.5万,"4,705元/平"
急售 急售！楼层好！全天采光！南北通透！标准两室！,2室2厅 | 82.62平米 | 南 北 | 精装 | 高楼层(共23层)  | 板楼, 68.5万,"8,291元/平"
保利溪湖林语 精装修 小户型 拎包入住 好出租,1室1厅 | 48.1平米 | 西北 | 精装 | 高楼层(共18层) | 2014年建 | 板楼, 40万,"8,317元/平"
大东区 七处宿舍 清水多层2楼 交通便利,3室1厅 | 67.58平米 | 东 西 | 毛坯 | 低楼层(共6层)  | 板楼, 38万,"5,623元/平"
配套齐全 交通便利 户型很好  南北通透,2室1厅 | 76.83平米 | 南 北 | 其他 | 低楼层(共26层) | 2006年建 | 板楼, 62万,"8,070元/平"
房主急售 龙湖紫都城 有钥匙随时看房 南北两室标户,2室1厅 | 89.95平米 | 南 北 | 精装 | 低楼层(共28层) | 2014年建 | 板楼, 80万,"8,894元/平"
清水随意装 一室 四期 奥体 住宅 东北国际 地铁,1室2厅 | 64.4平米 | 北 | 毛坯 | 高楼层(共33层) | 2014年建 | 塔楼, 62万,"9,628元/平"
金地檀溪 中间楼层 装修好 采光好 随时看房,2室1厅 | 88.76平米 | 南 北 | 精装 | 中楼层(共30层) | 2014年建 | 板楼, 110万,"12,393元/平"
特变之家，精装修，拎包入住，看房方便,2室1厅 | 97.18平米 | 南 北 | 简装 | 中楼层(共28层)  | 板楼, 53万,"5,454元/平"
202社区 1室0厅 南,1室0厅 | 25.2平米 | 南 | 其他 | 中楼层(共8层) | 1999年建 | 板楼, 45万,"17,858元/平"
全南户型，明厨，有电梯，精装修,1室1厅 | 69.28平米 | 南 | 精装 | 中楼层(共32层) | 2015年建 | 板楼, 93万,"13,424元/平"
不临火车道 精装修 南北标户 采光好 看房有钥匙,2室1厅 | 93.92平米 | 北 南 | 精装 | 低楼层(共33层) | 2014年建 | 板楼, 100万,"10,648元/平"
万科明天广场 精装 小高 中间层,2室2厅 | 93.63平米 | 北 南 | 精装 | 中楼层(共17层) | 2012年建 | 板塔结合, 129万,"13,778元/平"
奥体 名流印象 好楼层 三阳两室 房主急售 价格合适,2室2厅 | 95.05平米 | 南 | 精装 | 低楼层(共28层) | 2012年建 | 板楼, 83万,"8,733元/平"
美域天成 2楼 南北标户 园区中间 采光好   不挡,2室1厅 | 85.08平米 | 南 北 | 其他 | 低楼层(共6层) | 2018年建 | 板楼, 71.8万,"8,440元/平"
贝壳网五星经纪人王迪为您推荐 精装两室，楼层好,2室1厅 | 91.29平米 | 南 北 | 其他 | 中楼层(共34层) | 2013年建 | 板楼, 75万,"8,216元/平"
好楼层，满二，没有贷款，诚心出售 ，有钥匙看房方便,2室2厅 | 87.64平米 | 南 北 | 毛坯 | 高楼层(共34层) | 2020年建 | 板塔结合, 97万,"11,069元/平"
多层3室1卫 精装修 保持好 看房提前约,3室1厅 | 86.85平米 | 东 南 北 | 精装 | 高楼层(共6层) | 2008年建 | 板楼, 65万,"7,485元/平"
原中航建设 军工品质 U5户型 南北通透 精装拎包住,3室2厅 | 142.74平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼, 210万,"14,713元/平"
急售，中金启城北区，园区中间二楼，业主换房急售,3室1厅 | 100.82平米 | 北 南 | 毛坯 | 低楼层(共22层) | 2016年建 | 板楼, 89万,"8,828元/平"
急售东湖紫提东郡二期三室精装修楼诚好无任何遮挡,3室2厅 | 85.94平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼, 70.3万,"8,181元/平"
一环内 地铁  虹桥 总 急卖 急卖 急卖,3室2厅 | 115.13平米 | 南 北 | 精装 | 中楼层(共25层)  | 暂无数据, 87万,"7,557元/平"
龙逸花园二期 低楼层 南北通透 三室 采光充足,3室1厅 | 91.16平米 | 南 北 | 简装 | 中楼层(共6层) | 2006年建 | 板楼, 66万,"7,241元/平"
新加坡城二期 精装修 园区内 不临街 17年装修,2室1厅 | 71.22平米 | 西南 | 精装 | 高楼层(共18层) | 2012年建 | 板楼, 107万,"15,024元/平"
中海四期上和府后排 全天采光 房屋无抵押 出门地铁口,3室2厅 | 126.74平米 | 南 北 | 精装 | 高楼层(共33层) | 2020年建 | 板楼, 235万,"18,542元/平"
马总花园 两室 有房本 好楼层 好位置,2室1厅 | 64.92平米 | 东北 | 精装 | 高楼层(共34层) | 2016年建 | 板楼, 75万,"11,553元/平"
皇姑区万科品牌万科物业精装修 三居洋房,3室1厅 | 100.08平米 | 南 北 | 精装 | 高楼层(共11层) | 2016年建 | 板楼, 99.8万,"9,973元/平"
万家茗苑小区复式好楼层！实得面积大！,2室1厅 | 105.08平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼, 60万,"5,710元/平"
南北通透，明厨，有电梯，3室2厅1卫,3室2厅 | 118.15平米 | 南 西北 | 其他 | 高楼层(共9层) | 2001年建 | 板楼, 59万,"4,994元/平"
采光好，南北通透，交通便利。商圈成熟。临地铁，万达,3室2厅 | 167.65平米 | 南 北 | 精装 | 中楼层(共12层) | 2003年建 | 板楼, 126万,"7,516元/平"
奥体商圈 慧缘馨村 电梯多层 近地铁,3室2厅 | 122.63平米 | 南 北 | 精装 | 中楼层(共10层) | 2007年建 | 板塔结合, 97万,"7,910元/平"
温馨两室着急出售。户型方正。南向不吵。有钥匙。,2室1厅 | 61.46平米 | 南 | 其他 | 高楼层(共32层) | 2017年建 | 板塔结合, 49万,"7,973元/平"
长白南，精装修 干净整洁 看房方便,3室2厅 | 105.21平米 | 西南 | 精装 | 中楼层(共33层) | 2012年建 | 板楼, 68万,"6,464元/平"
新加坡城二期 满五 视野好 采光好,2室1厅 | 71.22平米 | 西南 | 简装 | 低楼层(共18层) | 2012年建 | 板楼, 98万,"13,761元/平"
青年大街 河畔花园 不临街 视野开阔 诚心出售,2室2厅 | 119.46平米 | 西 北 | 简装 | 高楼层(共22层) | 2005年建 | 塔楼, 82万,"6,865元/平"
皇姑区 珠五虹桥 绿化高、低密度，配套齐全 湖景房,3室2厅 | 123.08平米 | 南 北 | 精装 | 低楼层(共24层) | 2018年建 | 板楼, 107万,"8,694元/平"
铁西一环 勋望 培英 电梯洋房 好楼层 户型好 车位,3室2厅 | 130.69平米 | 南 北 | 简装 | 高楼层(共9层) | 2009年建 | 板楼, 143万,"10,942元/平"
铁西一环 勋望 培英 电梯洋房 好楼层 户型好 车位,3室2厅 | 130.69平米 | 南 北 | 简装 | 高楼层(共9层) | 2009年建 | 板楼, 143万,"10,942元/平"
家可议 随时看 满五 出门134+望湖路,1室1厅 | 53.18平米 | 西北 | 精装 | 低楼层(共18层) | 2012年建 | 暂无数据, 81万,"15,232元/平"
翔凤华园 小户型 白鸟公园 交通便利 配套齐全,2室1厅 | 56.72平米 | 东 | 其他 | 低楼层(共25层)  | 板楼, 75万,"13,223元/平"
万科翡翠书院二期  次新园区 开发商精装 进地铁,3室2厅 | 95.5平米 | 南 北 | 精装 | 中楼层(共26层) | 2019年建 | 板楼, 132万,"13,822元/平"
满五年奥体精装一室。随时看房，有钥匙,1室1厅 | 42.13平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合, 38万,"9,020元/平"
中海国际社区一期 中间楼层 精装修保持好 采光好,3室2厅 | 129.73平米 | 南 北 | 精装 | 中楼层(共33层) | 2009年建 | 板楼, 189万,"14,569元/平"
恒大二期顶跃，奢华装修，急售，拎包入住，近地铁,4室2厅 | 284.52平米 | 南 北 | 精装 | 高楼层(共18层) | 2010年建 | 板楼, 199万,"6,995元/平"
纯清水，装修便利，交通方便，停车方便，,4室2厅 | 226平米 | 南 北 | 毛坯 | 低楼层(共3层) | 2001年建 | 板楼, 180万,"7,965元/平"
精装修，采光充足，万科物业，封闭式园区,5室1厅 | 217.83平米 | 南 北 | 精装 | 高楼层(共18层) | 2014年建 | 板楼, 189.8万,"8,714元/平"
24城 精装两室 中楼层 园区心 闹中取静 勋望杏坛,2室2厅 | 87.48平米 | 南 北 | 精装 | 中楼层(共29层) | 2018年建 | 板楼, 108万,"12,346元/平"
恒大名都三期，房主急售，三室一卫，精装修，,3室1厅 | 104平米 | 南 北 | 精装 | 低楼层(共34层) | 2012年建 | 板楼, 66万,"6,347元/平"
房主诚心出售 三室两厅 前排不挡光 诚心买来研究价钱,3室2厅 | 98.52平米 | 南 北 | 其他 | 低楼层(共28层) | 2013年建 | 板楼, 60万,"6,091元/平"
满五 虹桥 南北通透不把山不临街 精装修4楼,2室1厅 | 56.6平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼, 52.8万,"9,329元/平"
房主诚心卖 保利茉莉小户型 双书包 金地铁,1室1厅 | 49.87平米 | 西北 | 精装 | 高楼层(共18层) | 2015年建 | 板楼, 58万,"11,631元/平"
精装修..全天采光.24小时安保..,2室1厅 | 92.55平米 | 南 | 精装 | 28层  | 板楼, 55万,"5,943元/平"
华润品质 全天采光 采暖好 业主诚心出售,2室1厅 | 86.58平米 | 南 北 | 简装 | 高楼层(共29层) | 2019年建 | 板楼, 104万,"12,013元/平"
洮昌花园 装修保持好 拎包即住 采光好无遮挡随时看,2室1厅 | 56平米 | 南 北 | 精装 | 高楼层(共6层) | 1987年建 | 板楼, 32万,"5,715元/平"
功馨苑 3楼 雏鹰 价格合理 房主急售,2室1厅 | 52.7平米 | 西 | 简装 | 中楼层(共8层) | 2000年建 | 板楼, 27万,"5,124元/平"
滑翔二区 通透户型 二楼 老式装修 万达 茂业 铁百培英,2室1厅 | 61.16平米 | 东 西 | 简装 | 低楼层(共7层) | 1996年建 | 板楼, 36万,"5,887元/平"
满五 虹桥 楼层好 采光好 看房方便2楼,2室1厅 | 41.55平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼, 39万,"9,387元/平"
万科春河里  双书包 出门就是幼儿园 有车位免费用,2室1厅 | 58.21平米 | 南 | 毛坯 | 低楼层(共35层) | 2013年建 | 板楼, 120万,"20,616元/平"
浑南 长青南街 华润奉天九里两居室 满五唯一 诚心出售,2室1厅 | 88.85平米 | 南 北 | 精装 | 中楼层(共25层) | 2017年建 | 板楼, 155万,"17,446元/平"
精装两室 保持好 楼层好 不挡光不临街 急售,2室1厅 | 57.48平米 | 西 | 精装 | 中楼层(共24层) | 2016年建 | 板塔结合, 55万,"9,569元/平"
交通方便，园区安静，房屋质量好，精装，地铁口旁,2室1厅 | 55平米 | 南 北 | 精装 | 低楼层(共6层) | 2000年建 | 暂无数据, 60万,"10,910元/平"
环北家园 70平精装二室 全屋地热 满5无贷 明厅,2室1厅 | 70.29平米 | 南 北 | 精装 | 中楼层(共7层) | 2004年建 | 板楼, 32万,"4,553元/平"
近地铁 精装修 中间好楼层 好房好价诚心卖,2室1厅 | 73.18平米 | 西北 | 精装 | 中楼层(共33层) | 2013年建 | 板楼, 55万,"7,516元/平"
"：南北通透格局,楼层好,视野开阔,采光充足,近地铁",3室2厅 | 113.36平米 | 南 西 北 | 精装 | 低楼层(共30层)  | 板楼, 89万,"7,852元/平"
金地物业 标准户型 南北通透  诚心出售,2室1厅 | 97.43平米 | 南 北 | 精装 | 高楼层(共24层) | 2007年建 | 板楼, 105万,"10,777元/平"
精装修  拎包入住  好楼层  位置好,2室1厅 | 69.66平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼, 27.8万,"3,991元/平"
婚装  2室标户 南北通透 随时看房  采光好,2室2厅 | 100.92平米 | 南 北 | 精装 | 高楼层(共24层) | 2011年建 | 板楼, 105万,"10,405元/平"
