iam_XXX,2023-01-29,00 oooo 姐姐要找多大的 00后都可 我刚好擦边 主要我年龄没那么大 那为什么 找弟弟呀 我喜欢弟弟 不喜欢年长的
雪,2023-01-28,你好呀 好 聊天嘛 身体好虚弱 没力气 生病了吗
深藏弓与名,2023-01-28,你好呀
春明儿,2023-01-28,固聊来啦 加你 castawayyy-
。,2023-01-27,上班摸鱼呀 嗯 腿好长哦姐姐 😄 谢谢夸奖 几点下班呀 6 弟弟来啦 哈哈
豆友252158960,2023-01-26,姐姐 你好呀 在杭州的弟弟可以认识嘛哈哈哈
迪迦奥利奥,2023-01-26,是滴，比你大一点点 啊弟弟我不太会回复了 哈哈哈 姐姐不常看豆瓣的话 可以去姐姐常看的地方聊天嘛 好呀好呀 那我加你微信姐姐 Komore-bis 刚打完麻将啊哈哈哈哈 这是我微信 加你啦
村上研究员,2023-01-25,我翻了你的 我应该是基本上覆盖了 所以不是共同爱好多 应该是我看得多 哈哈哈哈哈哈 主要是我 有点懒懒的加拖延症 很多看完不一定来登记 嗯 [眨眼]哈喽 没有再玩豆瓣了吗
IIIII,2023-01-24,门槛多少呀 300 可以干啥 你不看字吗？ 都说了只是门槛 300都不给 你跟我聊什么聊 ……
你哪位,2023-01-24,你好好看 谢谢
neko,2023-01-21,你好呀 新年好啊[害羞笑] 新年好呀 来语音吗 啊？ 为啥 你要干什么 看错了哈哈哈 我以为你帖子找人语音
豆友甲,2023-01-21,男孩子还是女孩子 女 语音嘛 新年快乐，兔年大吉 新年快乐哟
白夜行,2023-01-20,男孩子女孩子？
黑大头,2023-01-20,姐姐 怎么了 姐姐
童心,2023-01-10,做完会更爱 什么感觉 做的时候 你没做过？ 男人跟女人感觉不一样 能有什么感觉 爽 刺激 [喜极而泣] 投入 热烈 [喜极而泣]
cherish,2023-01-10,来语音吗
肖汐沨,2023-01-10,找到了吗 没 可微信联系 13603579349 男孩子？ 当然[做错事]，我这两天都改了 这儿聊也行
小狗,2023-01-10,男孩子来了
不忘初心,2023-01-09,你好 你好 发我一下微信 castawayyy- 加了
陌生人789,2023-01-09,lz?
咖啡色的衣服,2023-01-09,女孩子？
局外人,2023-01-07,姐姐
momo,2023-01-02,你多大 00 这么久没理我 因为我不常看豆瓣😂 就是想起来就上来看一下 对不起呀姐姐 好吧 去微信聊嘛 不要 [失望]
水果硬糖,2023-01-02,姐姐
豆友260371798,2022-12-31,现在头好痛，打算明天再放了 一个人住呀？ 和同事合租的呀 今年的最后一天认识你 好有缘 是呀 没想到还是个老乡弟弟 [眨眼] 加个微信吧 fxzrqjzztrmy9 加你啦
糯米狸,2022-12-21,这么坚定的吗？ 没有啦 好不好听 萝卜白菜各有所爱嘛 那我加你吧 castawayyy- 加你了 没有呀 是不是最后一个 - 漏啦 好像是耶 [不说] 加你啦
momo,2022-12-21,你好呀 hi 聊天嘛
擺摊鑒🐮🐮,2022-12-20,你好呀 不閑聊 鑒🐮🐮叁拾 支某寶搜口令紅包 😂
So爺,2022-12-18,嗯嗯  只是中毒太深 需要时间 你是哪里人呀 本地啊 。你不是吗 我是呀 我看你用繁体字 以为不是呢 换部手机  这部简体 哈哈哈 可可爱爱 哈哈哈
阿瑾,2022-12-18,大树挂辣椒是什么意思
wowo,2022-12-18,开车
木子,2022-12-18,啊 那你经常去杭州吗 我在杭州念书 哇塞 我还没去杭州 哈哈哈好吧 嗯呐 为什么还不睡觉 不困 那让我折腾你 折腾完就困了
豆友265546917,2022-12-18,聊天嘛
Νύξ,2022-12-17,额 也不算 你在哪个城市呀 目前到长沙出差ing 啊 现在还要出差 注意防护哦 晚上一个人住酒店吗 对呀 不然嘞 会不会害怕🥶 不会啊。几个同事一起
豆友xBpacy0oUs,2022-12-17,不知道你为啥被禁言了 需要代做的话加我微信哈 castawayyy-
nowhere,2022-12-14,什么样的弟弟 有少年感思想成熟体贴的
王平平,2022-12-13,问这干啥 哈哈 我也不知道聊啥 [不高兴][不高兴] 如果不想聊男女话题就不聊啦 本来我今年也要考研的 但是太忙了 实在精力有限 毕竟这方面也没啥可聊的 好吧 你好呀 你好
momo,2022-12-12,姐姐 嗨 想陪你说话 但是我在宿舍不能语音哈哈 没事
恭喜发财,2022-12-10,你好 需要python辅导吗 需要的 castawayyy- 加我微信说哈 我不常看豆瓣
momo,2022-12-09,是读文章复现嘛？ 一开始我就读懂思路以后 对着伪代码自己写 后来看的多了 策略都差不多 基本看一下图和伪代码就大概能懂 然后就可以复现 我是用python 不过我从本科一直有在写代码 所以代码基础还可以 没有在编程上碰到什么困难 好滴好滴学到了！ 我代码比较弱[疲倦] 那写文章很容易的！你多找几篇顶刊总结一个框架 慢慢写就好啦 加油呀 你也加油～ uu 你还在吗
黑虎阿福,2022-12-07,你好 需要python辅导嘛
浮生梦。,2022-12-07,呀，真的吗？？？ 是的 我在首页刷到了 你还记得我嘛 估计不记得了 弟弟太多了 没有，我好久没聊天了 比较忙 你把我的微信删了 好难过哦 因为不聊天了啊 聊啊 为什么不聊
Sherry,2022-12-06,什么专业 计算机呀 不错！ 未来工作好找 这几年都互联网寒冬啦 但还是好找 你是啥专业呀 医学 你平常健身吗 不健身呀
阿尔弗雷多,2022-12-05,多少钱 你觉得多少合适
Lena,2022-12-05,姐姐多大了 比你大好多，你00后？ 00的没有很后 我22 哈，那还是很小的。我8开头的。 [眨眼]哈哈哈那也是我喜欢的姐姐 这也行～  快叫我阿姨 姐姐 姐姐 姐姐
懒羊羊不用跑,2022-12-02,我🙌🏻 哈哈哈哈哈哈 不好意思  刚刚没看这个 这人有点多  我就 只给她推了第一个私聊的 不好意思啊
丫各布,2022-12-01,冷死啦🥶
永远有多远,2022-11-29,[思考] 眼光是有多高 没有吧 一般是聊着聊着发现性格不合适 语音聊？视频聊？ 都有过吧 所以说出你的要求！ 人 正常人 有礼义廉耻的正常人
WhyamI,2022-11-29,男大学生也蛮香的 必须的 姐姐8几的 88 居家办公忙不忙 基本不忙 天天偷懒 姐姐是做什么工作的呀 我基本上就算是半个行政吧 天天杂活一堆堆
一个漫琳呀,2022-11-28,你好好看 谢谢你的夸奖
cheese,2022-11-25,我报名 好的 可以说一下你的基本信息吗 姓陈 浙江理工大学 计算机专业 专硕 应届考上去的 目前暂时需要的是学硕的受访者 如果后面需要专硕我再联系你哈～
顺风顺水顺财神,2022-11-25,换个人继续吵
豆友246090108,2022-11-25,那你找我干嘛 感觉id眼熟 你干嘛删我 不加我 呃 我有男朋友了那时候 啊 这样 他发现我小号了 [害怕] 我怕被他发现你 所以你要用line?
hereisG,2022-11-24,姐姐你好呀 好哟 聊天嘛 进群聊吗
豆友204148729,2022-11-24,可能都是被你头像吸引的吧～ 哈哈。  可能 你每天晚上出没嘛 你在哪个国家呀 我国啊 白天要搬砖啊 噢噢你在国内呀 在哪个城市呀 [思考]
君,2022-11-24,你好呀 你好
宝,2022-11-23,杭州组吗 嗯 去微信看吧 朋友圈有 小号吗 都可以 我问你 大号 你多少我加你 castawayyy-
空,2022-11-22,北方人 我在杭州读研 你来工作嘛 是的 工作 你年龄很小呀 比你小 亿点点 [尴尬] [悲伤]
小啊,2022-11-22,[爆笑] 去微信看？ 可以啊 我加你 zbbdjmy 啊 找不到 你再试试 不行我加你 castawayyy-
啊啊啊叫什么呢,2022-11-22,只找同城的吗
至尊宝,2022-11-22,你好，论文一对一指导+b:pang4478备注豆瓣即可
天气晴朗,2022-11-21,hi 你好哦 可以做个固聊嘛hhh 可以呀 你还在嘛 在呀 语音嘛还是？ 可以 那我加你 tjtooo
ture true,2022-11-20,你好呀
我测伱㐷,2022-11-19,我00年的 我测 我04 大一妹妹 对呀 可以加你微信嘛 好呀 我加你 好吧 zzmshigedameinv
⠀,2022-11-19,我也在杭州读研
爱我的人超有钱,2022-11-18,在浙江，有点远 一定要同城嘛 你在哪里呀 江苏 不同城，怎么实现快乐呢 哈哈哈 要怎么快乐 不准明知故问 线上也可以呀 线上不好玩 你在江苏哪儿
灵丹妙药,2022-11-18,找00后做啥 打工 那么在哪里面试呢
鱼蔓,2022-11-18,啊 没有 好叭好叭，你说微信号，我加你。不许撩骚哈！老师要打人的[喜极而泣] castawayyy- [微笑]爱你 [没有嘴] Rick？ Castaway？ castaway呀
momo,2022-11-18,你也是研一嘛
金星星,2022-11-18,要多渣 啊哈哈哈哈还哈 [尴尬]
abc小小小阳光,2022-11-18,嘻嘻 姐姐不经常看豆瓣嘛 忙就没看 那可以不可以去姐姐经常看的地方聊天🥺 哈哈哈 qq.？ 都可以呀 qq微信 785035413 q 加你咯
陈先生,2022-11-18,需要的话可以推给你一个一对一代写的老师  我之前就是做的代写全包  从开题直接到最后顺利通过
喜愿,2022-11-17,04 大一？ 嗯 好小呀 [喜极而泣][喜极而泣][喜极而泣] 互换照片嘛 固聊 为啥要发照片 那就不发 谢谢
豆友205294463,2022-11-17,为什么性别是女 你是男的吗 嗯
想匿名谢谢,2022-11-17,你好呀 你好呀 卷到这么迟嘛哈哈 不是不是 就是今天比较忙 刚回寝室 睡了嘛 在咩 在呀
秋凤梧,2022-11-16,又没别的感情 我才看到哈哈哈 5次是秒潮 我本来以为… 你以为我跟他啊 想多了 真的可以5次？ 可以 哈哈哈哈我就这一次而已啦 啥意思 只玩过一次吗
漩涡,2022-11-16,聊天嘛 ？ 来 语音嘛还是？ 行 你发我 我加你 castawayyy-
skeptical,2022-11-16,你好呀 有偿代写python作业 请问怎么收费呀 我有现成的数据和代码 就是看一个运行结果 加微信 castawayyy-
豆友258639060,2022-11-16,你好呀
鱼,2022-11-15,没有虎牙 [喜极而泣] 哪里来的虎牙 真的嘛 真的 没有虎牙 🐷 你的动态怎么不见了 刚删了 哈哈
lumina,2022-11-15,比你大五岁 哈 好小 什么？ 比你大 不是小 我说在豆瓣的姐姐里 算小的啦 是吗 对呀 小姐姐 [喜极而泣]
马嘉祺（上岸版,2022-11-14,你好呀
Kyattsu妮妮,2022-11-14,你是做什么视频的呀 https://www.douban.com/doubanapp/dispatch?uri=/group/topic/278555109 这个是我做的视频哈
👣,2022-11-13,姐姐好好看 我也觉得 聊聊天嘛 不聊 [发怒]
Rusty,2022-11-13,你好呀 你好 不是猥琐油腻大叔可以豆邮嘛 你说你不是 就不是？ [疲倦]可是我还小 18? 赶紧好好上学吧 22
大拙,2022-11-12,姐姐好看
吃小孩的老阿姨,2022-11-12,姐姐 ？ 没有 看你动态很有意思哈哈 哦哦 要是我在深圳就好啦
🍳,2022-11-12,哈哈哈 秘密 番号吗哈哈哈 哈哈哈 微信号 番号是什么 av [汗] 刚刚吃完酸辣粉
豆友219064092,2022-11-12,怎么证明 你跟过几个主人 1个 你喜欢被怎样调教 你说吧 我是在确认你 [汗] 你得回答我 算了吧 ？
.,2022-11-10,怎么审核呢 发个语音条就可以 哈哈哈审核好不好听嘛 对的啊 嗯 我加你吧 你给我有，我加你 castawayyy-
蹦蹦哒哒,2022-11-09,什么考试呀 英语导游中级 我第一反应以为考研 算了下不对 哈哈，不是不是
米米饭饭,2022-11-09,姐姐 ？ 找你聊聊天呀可以嘛 不闲聊 10个美女关注你，还不够你聊的吗 啊 好嘛～
玉米喵啊喵,2022-11-08,[不说]甜妹你好呀
诗别,2022-11-08,你好呀
桃子,2022-11-08,聊天嘛
Two,2022-11-08,她的意思是 三四十岁的 老大妈嘛 并不是每一个三四十岁的女的都是老大妈 嗯 后来她解释了 我也理解   我之前也是在豆瓣上认识了一个89年的姐姐 后来一起住了一段时间 感觉和同龄人没啥区别 本来 你会觉得应该有什么差别吗 理念 习惯上的差别吗 我本来也不会觉得有什么差别 是你说的差俩年代！ 哈哈哈哈哈
很美味,2022-11-07,聊天嘛
疯癫颠痴儿,2022-11-07,好看～ 谢谢~ 聊聊天嘛 明天吧
怀燊,2022-11-07,你好好看呀 嘻嘻，谢谢小姐姐！ 哈哈我是小哥哥 啊[喜极而泣] 也谢谢你哈
たちばな,2022-11-07,哦哦哦  我想怎么有人突然发私信的 不好意思 之前看了很多杀猪盘的聊天记录 [思考] 只是看到漂亮女孩子就想聊天哈哈哈 ？那你可以换一位了[笑脸] 为什么 你在哪找到我的？ 首页 ok 谢谢 已删 [尴尬] 不好意思 打扰了
陈小错不是🐷,2022-11-07,就小一点点 十几岁吧 你才高中生吗 [黑框眼镜] 没有呀 我研究生啦 00后 00年 这么小 哈哈哈 还好吧
ᥬ🙄᭄,2022-11-07,对的 本科在厦门读的 厦大？ 不是 普通本一 厦门除了厦大 就是集大了 其他都是本二吧 🤔华侨其实也是本一 [喜极而泣][喜极而泣][喜极而泣] 好吧 你是厦门本地人嘛
Le printemps,2022-11-06,曾经创下过4个小时攻克感冒的记录🤔 How？ 那时候玩到3 4点 准备睡的时候确定感冒了 就喝了999 又喝了一杯水 然后盖厚被子 出汗 睡到89点起来又喝了一杯999感觉基本好了 哦哦 感觉关键是在感冒的一开始就喝999 我已经出了两晚上的汗了 我感冒没一周就不行 但是特别谢谢你，真的
豆友258364453,2022-11-06,是的。喜欢粘人的弟弟 那不是巧了吗 但我是弟弟吗 可是我又不敢问你多大 你不问我 可以说自己的啊  那么好奇这些？ 我00年的 那肯定是弟弟 姐姐 弟弟
mty、feather,2022-11-06,姐姐好好看哦
豆友u9qKnnutog,2022-11-06,姐姐 ？ 你好好看呀 [尴尬][尴尬] 不能夸吗 不 好嘛
阿jo不说话,2022-11-06,姐姐好看 谢谢dd～ 想和姐姐认识一下可以嘛🥺
outro,2022-11-06,姐姐好好看
关咏荷,2022-11-06,好看呀姐姐 好 也好高冷
醒醒,2022-11-06,[嘻嘻] emm 你是刚毕业嘛 为什么要广西 … 帮姐妹找找 哈哈哈 回的好慢 因为发完就忘记了 挺好的
zoom,2022-11-05,那天语音跟你讲 挺好玩的 用什么语音 微信 那 还能陌陌吗 先加上吧 你多少 castawayyy-
雨后生花,2022-11-05,你好呀
风起,2022-11-05,聊天
洛漫,2022-11-04,虽然我很笨 你经常找人聊天呀 也可以这么说 为什么呀 一般聊啥 不知道 瞎聊呗 找人聊天不需要理由吧 人是社会关系的总和
destiny,2022-11-04,姐姐 你多大 浙江……好远 23 还在读研
凯拉奈特利的拉,2022-11-04,还不能发语音 你想发语音撩我 🥺我没有 还说没有 就没有 好好好 那没有 那给不给嘛 给你啦 yuaidemm
Wild Female,2022-11-04,我帮你跑
BearbagGame,2022-11-03,唉，这样讲起来，我真的好喜欢 我从来没有这么喜欢一个人过 但是我觉得，有些电影就是贴着我的灵魂过去的 可以感受到 你的热情 我从来没有在中国的影视作品里听到过这么震撼人心的配乐 但是我在其他国家的作品里听到了 而且我发现，我的感受和想法，有好几部片子拍出来了 那种神级的理解 我从来没在其他地方体会过
七九,2022-11-03,不安全 。我酒量好呀 真的吗 那我去试试 。我吹牛的 那我酒量好 你是做什么的呀 我还在读研 太小了 [发怒]
得吧得吧得,2022-11-03,可 加V吗 豆瓣不常上 你在厦门读书？ 加v吧 以前在 那我们有的聊 Cynthia_zhang12138 加你咯
清晨,2022-11-03,姐姐 可惜你不在西安 为什么可惜 我说了呀，你不在线，咱俩不在一个地方 在的话可以干嘛 不干嘛
乔艾洛-,2022-11-03,但是肯定不在豆邮聊啦 好的 去微信嘛 可以的 那我加你吧 cheung_wing 啊 搜索不到 啊 我关了 我开一下  可以了
锡箔纸与微波炉,2022-11-02,是姐姐吗 你多大呢 00年哦 小朋友 所以你是姐姐 是 [不说]弟弟来啦
白牡丹,2022-11-02,在杭州的可以嘛
流年里的日光,2022-11-02,怎么样！ 哈哈哈哈 可以很好 认识一下嘛 哇 你好看 快 刚好在看豆瓣啦 哈哈 真巧
豆友261782186,2022-10-29,3.21开始是白羊座好像 你对星座很了解吗 小白羊 也不是很了解哈哈哈 我以为你对这个研究比较多一些 记个大概时间而已啦 自己的星座可能稍微懂点 别人的星座就不好说了 castawayyy- 加我吧
拱墅区李雪琴,2022-10-28,有什么要求呀 聊聊你自己 让我了解下 00年 研一 计算机专业 在下沙这里 我比你大10岁 。。。。。 再见 姐姐
粥多鱼,2022-10-28,你真的很好看耶 哈哈还好啦 谢谢你的夸奖 不许还好 就是很好看 好吧→_→ 蟹蟹
時野,2022-10-28,姐姐 嗯？ 找你聊天 太远了哦 [悲伤]这不是有网络嘛 我喜欢现实 好的姐姐
已注销,2022-10-28,聊天 聊 准备下班了吗 对
momo,2022-10-28,姐姐你好呀
反差小恐龙,2022-10-27,你好呀姐姐
情人,2022-10-27,你好呀
uberdriver,2022-10-26,聊天呀
我是疯子,2022-10-26,但我感觉是的！ 不是 你多大 阿嬷的年纪 比我大就是姐姐咯 阿姨 姐姐！ 姐毛线 快来我身边 呵呵
兔子🐰,2022-10-24,姐会同意吗 姐姐可是糊弄不了的喔[假笑] 那 可以加姐姐微信吗 好 你id多少 加好睡觉 castawayyy- 还真00后 [黑色笑脸]
豆友183860902,2022-10-24,你好呀 你好 聊天嘛 聊什么
烧白空心菜,2022-10-24,你好呀姐姐
我在故宫送牛奶,2022-10-23,这个问题对我来说 是知识付费 怎么可以这样 那有不转200的选项吗 没有 [大哭][大哭][大哭] rmb吗 对啊 美元也不介意 have a nice day～
华南全智贤,2022-10-23,微信可以视频 微信可以发语音 微信可以发表情包 没有表情包的聊天是没有灵魂的 为什么要视频？ 你不是要看我嘛！ 给你发视频 好的 那你把二维码给我吧 呜呜没关注不能发图 castawayyy- 我的微信号
等一个人,2022-10-22,你好呀姐姐 你好 聊天嘛 姐姐刚醒嘛 不是 刚体检回来
MI,2022-10-21,你好啊
虾虾侬,2022-10-20,我就一个微信号，还是本名，都是工作，你能接受仅聊天吗？ 可以呀 我给你开朋友圈 哈哈哈不用 你给我微信号 仅聊天即可 castawayyy- 我加了
已注销,2022-10-20,我来聊 lovezhuzhu0829 加微 方便吗 加了哦 谢谢🙏
豆友259359028,2022-10-20,在呀 在 要一起干嘛呀 什么 一起玩嘛姐姐 玩什么 都可以呀 你的ｖ给我吧。 castawayyy-
爱你的虎口,2022-10-20,姐姐你好呀
荔枝,2022-10-20,姐姐你好呀
艾莉塔G1,2022-10-20,你好呀姐姐 你好 有事？
豆友263584679,2022-10-19,腿嘛 腿粗 大腿吗 还有小腿啊 我喜欢 我都喜欢 啧啧啧，嗯，甜甜的 [眨眼] 姐姐做什么工作的呀 不想回答这个 回答腻了
淼淼,2022-10-19,你好呀姐姐 ？ 聊天嘛
😳,2022-10-19,你好呀
泥吧啦,2022-10-04,连麦嘛 嗯嗯 微信嘛 嗯嗯 你微信给我吧 castawayyy- 最后有一个杠不要漏啦 加你了
Selina,2022-10-02,聊天嘛 嗯 打字还是语音呀 就这里呀
mоmо,2022-09-29,需要python作业代做嘛
一马,2022-09-27,你好呀
superbadou,2022-09-26,姐姐 Hi你好~弟弟可以简单介绍一下自己么？ 00年双鱼座弟弟 在杭州读研究生 奶狗类型🥺
花辞树,2022-09-21,天蝎你好呀 挺好 聊聊天嘛 陪聊付费。暂无兴趣尬聊 多少钱呢
人生太短,2022-09-21,啊哈哈哈哈 你是真会啊 加个微信吗 先发语音条 好呀 你发我 castawayyy- 喵喵 啊 没收到 是不是最后一个-漏啦 啊
豆友130465442,2022-09-20,杭州 呦~ 怎么啦 姐姐yezaima 没在 那姐姐在哪 上海 挺近的 嗯 想看看肉肉的姐姐
Chelsea,2022-09-19,多少钱呀 看你聊什么 语音还是视频 你想怎么样 都可以呀 看你接受程度 ？ 嗯嗯 加微信说吧 我加你的 castawayyy-
温柔的mm,2022-09-19,聊天嘛
喵呜爱爬树,2022-09-17,工科的好朋友来了 p1Kaj1uubiu 加我好不好 [发怒][发怒] 你不会觉得自己很委屈吧 [生气] [大哭]委屈啊 什么话该说不该说 你不知道吗 为什么不道歉
豆友262752834,2022-09-17,听听声音嘛 挺你的吗 听 对呀 微信还是qq呀 微信 vvtian_ 加你了
觉红,2022-09-17,没有哦，回老家了 为什么会被说是高中生 长得太嫩吗哈哈哈 哈哈哈哈哈我也不晓得啊 我自己都纳闷呢 我来帮你分析！ 但是需要一点素材 😂 算了吧，哈哈，谢谢喽 [思考]
momo,2022-09-16,你好呀
momo,2022-09-15,这么巧吗 不巧不巧 更巧的是看到了眼熟的双非硕士组 你在哪里读书呀 上海 你呢 在家蹲好几个月了 疫情反反复复 啊 我在杭州
追星光的小猫,2022-09-15,姐姐你好呀
Coisini,2022-09-15,明天要出远门了 今天来聊天 听听声音可以嘛 [喜极而泣] 哈哈哈 好奇 你家楼下有没有晨练大爷  就那个声音 中气十足 没有！ 住学校 门卫大爷
momo,2022-09-15,你好呀
粑粑永远是粑粑,2022-09-14,你好呀 你好 聊天嘛 [摇手]
都是月亮惹的祸,2022-09-14,我还好 我玩女枪召唤元素和奶 其他的装备一般 女枪当时红11跟人打2脱 芜湖 太烧钱了 贫穷不配 啊我困死了，我睡觉了晚安 晚安啦 姐姐怎么被禁言了
sweet,2022-09-13,你好呀
Yvoire,2022-09-13,必须的 姐姐好好看哦 不至于不至于 扔在人堆里都看不到那种 哈哈哈 扔在人堆里会闪闪发光那种 过了有回头率的峰值了 峰值在哪 久了，忘了 现在的姐姐好看知性有魅力 哈哈哈哈照骗这个 词建议你深刻领会并贯通
.,2022-09-13,没想到是微信收款哈哈哈 哈哈 这里聊也挺好的 我很少加v 你在福建哪个城市呀 xm 我本科在那里待了四年 还不错 出门楼下咖啡店 好的
橙橙橙橙橙,2022-09-13,你好呀姐姐
Laura,2022-09-12,你好呀
楠楠自语,2022-09-11,弟弟可以吗 你多大了？ 00年 那太小了
隔壁老高,2022-09-11,帮什么忙 你猜
叫我不乖,2022-09-11,166 好高呀 这是在酒店拍的呢？ 上次出差去拍的 还有嘛还想看 没有了 好嘛 下次看裸的吗 我不拍那些哦 还不睡
momo,2022-09-11,好看呀姐姐 我不是lsp 我就夸一嘴哈哈 谢谢
叫我崽崽嘎,2022-09-10,应该是和男朋友在一起的画面 但是每次都没有脸 啊 哪来的男朋友 未来的吧 哈哈哈哈哈哈哈哈哈 闲聊啦 中秋快乐耶 中秋快乐吖 还有和我的聊天记录吗
HHHHH,2022-09-10,你好呀
aspirin,2022-09-10,聊聊 聊呗 太 困了 醒了聊 。。。 醒了哈哈哈 你还在吗 在 和别人聊完了吗 你礼貌吗
青红皂了个白,2022-09-10,castawayyy- 加了吗 等会加 好嘛  加了吗！ 加了 没有啊 castawayyy- 最后一个杠不要漏啦 加你了
含笑有白鹭,2022-09-10,细说 没有粗的东西不想细说 不关注不能发图
miss Z,2022-09-10,姐姐
lucky,2022-09-09,连语音为啥一定要上海 大概可能更有共同话题 好嘛 我在杭州 没机会啦 杭州也可以了 你多大呀  28 你呢 23
豆友262247083,2022-09-09,换一个吧 为什么 换一个弟弟 下一个更好 你哪里好 哈哈哈我没说是我啦 我们好像离太远了 不然就跟你好好说说我哪里好！ 哦～ 我在北京哦 我在南方呢 在杭州
豆友184161099,2022-09-09,聊天吗
豆友261131343,2022-09-09,可以啊 语音？ OK 我加你？ jiushia_ 没有啥 你觉得呢 额 xsh? dym?
陆地的地,2022-09-08,你刚下班嘛 在打球啦 打什么球呀 🏸 你健身吗 不健身 但我打🏸 你在哪个场 我在金山打一般 那有点远[笑脸]
豆友262135223,2022-09-08,你好呀 [嘻嘻] 你好 有偿可以接受的话临时关注我一下发二维码图片，＋好友 这图发不过去 什么价格呀 这个可以商量 上面有负责分配人的小姐姐 我也不太清楚呢[思考] ＋2795887792我q
粉红羽毛,2022-09-08,男朋友来了 拒绝异地恋哈 男朋友走了
f,2022-09-08,我觉得你恐怕带不走啊 为什么带不走呀 你结婚了吗？ 还没 你有钉钉吗？可以先了解一下 钉钉？ 有啊 只是不怎么用 你钉钉号多少我加你 castawayyy 加你了
再见巴别塔,2022-09-08,啊 你真的准备发 真的准备收学生的吃饭钱 是的 我刚想起来 道德感那种东西我好像没有[嘻嘻] 那怎么办 那只能加微信发红包了 就是不愿意关注我 哈哈哈哈 不是 是想要骗微信 Grinnerrr
豆友Ou7iiqfqTY,2022-09-08,哈哈哈回复你的好多 你要都删掉 哦哦哦 这样啊 无聊一时爽 [喜极而泣] 豆邮爆了吗 没有，怕被发现哈哈 怎么会被发现 中午好呀
噢！,2022-09-07,你好呀！
豆友260995895,2022-09-07,是sub?还是找sub sub 喜欢进门后就把你摁在墙上 两只手交叉摁在头顶 然后给你蒙上眼罩 掐住脖子 不聊吗
豆友259235375,2022-09-07,我来打招呼啦
一树繁花,2022-09-07,姐姐长得有点好看呀
🍩,2022-09-07,嗯呢 祝贺祝贺hh 姐姐找到心仪的弟弟了吗 没呀 我基本上不抱希望了哈哈 之前是姐弟恋组豆邮的吧好像 是的 哈哈哈那时候被喜欢狼的劝退了 哈哈哈哈 所以你是很奶的吗 还好吧哈哈哈
simmer,2022-09-07,研究生哥哥可以？
娜乌西卡,2022-09-07,姐姐 弟弟来啦 多大的弟弟呢 00年呀 来 来啥哈哈哈 来姐姐身边嘛
